title,release_date,release_year,revenue,genres
The Million Dollar Hotel,2000-02-09,2000,0,"['Drama', 'Thriller']"
True Romance,1993-09-09,1993,12281551,"['Action', 'Thriller', 'Crime', 'Romance']"
Insomnia,2002-05-24,2002,113714830,"['Crime', 'Mystery', 'Thriller']"
Mystic River,2003-10-07,2003,156822020,"['Thriller', 'Crime', 'Drama', 'Mystery']"
Snakes on a Plane,2006-08-06,2006,62022014,"['Action', 'Crime', 'Horror', 'Thriller']"
Brother,2000-09-09,2000,15250000,"['Crime', 'Drama', 'Thriller']"
Jurassic Park,1993-06-11,1993,920100000,"['Adventure', 'Science Fiction']"
The Lost World: Jurassic Park,1997-05-23,1997,229074524,"['Adventure', 'Action', 'Science Fiction']"
Jurassic Park III,2001-07-18,2001,368780809,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Inspector Gadget,1999-07-23,1999,0,"['Action', 'Adventure', 'Comedy', 'Family']"
Magnolia,1999-12-08,1999,48451803,['Drama']
Once Upon a Time in the West,1968-12-21,1968,5321508,['Western']
Night on Earth,1991-10-03,1991,2015810,"['Comedy', 'Drama']"
Everything is Illuminated,2005-09-16,2005,2697930,"['Comedy', 'Drama']"
A Crime,2006-09-11,2006,0,"['Crime', 'Thriller']"
Harold and Maude,1971-12-20,1971,0,"['Comedy', 'Drama', 'Romance']"
Eyes Wide Shut,1999-07-14,1999,162091208,"['Mystery', 'Drama']"
Alien,1979-05-25,1979,104931801,"['Horror', 'Science Fiction']"
The Devil Wears Prada,2006-06-30,2006,326551094,"['Comedy', 'Drama', 'Romance']"
Batman Returns,1992-06-19,1992,280000000,"['Action', 'Fantasy']"
A Nightmare on Elm Street,1984-11-14,1984,25504513,['Horror']
Raising Arizona,1987-03-01,1987,29180280,"['Comedy', 'Crime']"
Miller's Crossing,1990-09-21,1990,5080409,"['Drama', 'Thriller', 'Crime']"
Rain Man,1988-12-11,1988,412800000,['Drama']
To Catch a Thief,1955-08-03,1955,8750000,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']"
Mala Noche,1986-02-05,1986,0,['Drama']
Inside Man,2006-03-23,2006,185798265,"['Crime', 'Drama', 'Thriller']"
12 Angry Men,1957-03-25,1957,1000000,['Drama']
Chocolat,2000-12-14,2000,152500343,"['Comedy', 'Drama', 'Romance']"
Kill Bill: Vol. 2,2004-04-16,2004,152159461,"['Action', 'Crime', 'Thriller']"
AVP: Alien vs. Predator,2004-08-12,2004,171183863,"['Adventure', 'Science Fiction', 'Action']"
Who's Afraid of Virginia Woolf?,1966-06-21,1966,33736689,['Drama']
French Kiss,1995-05-05,1995,0,"['Comedy', 'Romance']"
Capote,2005-09-30,2005,49084830,"['Crime', 'Drama']"
Things to Do in Denver When You're Dead,1995-12-01,1995,529766,"['Drama', 'Crime']"
Garden State,2004-07-28,2004,26781723,"['Comedy', 'Drama', 'Romance']"
Basic Instinct,1992-03-20,1992,352927224,"['Thriller', 'Mystery']"
Driving Miss Daisy,1989-12-13,1989,145793296,"['Comedy', 'Drama']"
The Straight Story,1999-10-15,1999,0,['Drama']
Snow White and the Seven Dwarfs,1937-12-20,1937,184925486,"['Fantasy', 'Animation', 'Family']"
The English Patient,1996-11-14,1996,231976425,"['Drama', 'Romance', 'War']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,2005,748806957,"['Adventure', 'Family', 'Fantasy']"
Batman Forever,1995-06-16,1995,336529144,"['Action', 'Crime', 'Fantasy']"
Batman & Robin,1997-06-20,1997,238207122,"['Science Fiction', 'Action', 'Fantasy', 'Comedy']"
The Life Aquatic with Steve Zissou,2004-12-10,2004,34808403,"['Adventure', 'Comedy', 'Drama']"
Schindler's List,1993-11-29,1993,321365567,"['Drama', 'History', 'War']"
Ice Age,2002-03-10,2002,383257136,"['Animation', 'Comedy', 'Family', 'Adventure']"
Vertigo,1958-05-09,1958,28000000,"['Mystery', 'Romance', 'Thriller']"
"The Good, the Bad and the Ugly",1966-12-23,1966,6000000,['Western']
"One, Two, Three",1961-12-15,1961,4000000,"['Comedy', 'Family']"
Mary Poppins,1964-08-27,1964,102272727,"['Comedy', 'Family', 'Fantasy']"
The Day After Tomorrow,2004-05-26,2004,544272402,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Maria Full of Grace,2004-01-18,2004,0,"['Drama', 'Thriller', 'Crime']"
Aliens vs Predator: Requiem,2007-12-25,2007,41797066,"['Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror']"
Human Nature,2001-05-18,2001,705308,"['Drama', 'Comedy']"
Caché,2005-05-02,2005,36000000,"['Mystery', 'Drama', 'Thriller']"
Leaving Las Vegas,1995-10-27,1995,49800000,"['Drama', 'Romance']"
A Beautiful Mind,2001-12-11,2001,313542341,"['Drama', 'Romance']"
Romeo + Juliet,1996-10-31,1996,147298761,"['Drama', 'Romance']"
Bend It Like Beckham,2002-04-11,2002,76578641,"['Comedy', 'Drama', 'Romance']"
Erin Brockovich,2000-03-17,2000,256271286,['Drama']
Klute,1971-06-21,1971,12512637,['Mystery']
My Own Private Idaho,1991-10-17,1991,6401336,['Drama']
Stranger Than Paradise,1984-10-01,1984,0,"['Comedy', 'Drama']"
21 Grams,2003-09-06,2003,60427839,"['Drama', 'Crime', 'Thriller']"
Pi,1998-07-10,1998,3221152,"['Mystery', 'Drama', 'Thriller']"
Bonnie and Clyde,1967-07-18,1967,50700000,"['Crime', 'Drama']"
Drugstore Cowboy,1989-09-09,1989,4729352,"['Crime', 'Drama']"
Shaft,2000-06-15,2000,107196498,"['Action', 'Adventure', 'Crime', 'Thriller']"
Shaft,1971-07-02,1971,12121618,"['Adventure', 'Action', 'Thriller', 'Crime']"
Wild at Heart,1990-05-01,1990,14560247,"['Comedy', 'Crime', 'Thriller']"
The African Queen,1951-12-03,1951,10750000,"['Adventure', 'War', 'Romance']"
Good Will Hunting,1997-12-05,1997,225933435,['Drama']
Being John Malkovich,1999-09-30,1999,22863596,"['Comedy', 'Drama', 'Fantasy']"
Shaft's Big Score!,1972-06-08,1972,10000000,"['Action', 'Adventure', 'Crime', 'Mystery']"
Shaft in Africa,1973-06-14,1973,1458000,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,2006,261572744,['Comedy']
The Green Mile,1999-12-10,1999,284600000,"['Fantasy', 'Drama', 'Crime']"
Reservoir Dogs,1992-09-02,1992,0,"['Crime', 'Thriller']"
Grizzly Man,2005-08-12,2005,0,['Documentary']
Fail-Safe,1964-10-07,1964,0,"['Drama', 'History', 'Thriller']"
Poseidon,2006-05-12,2006,181674817,"['Adventure', 'Action', 'Drama', 'Thriller']"
Monster,2003-11-16,2003,60378584,"['Crime', 'Drama']"
Johnny Handsome,1989-09-12,1989,7237794,"['Crime', 'Drama']"
Marnie,1964-07-09,1964,7000000,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Killing Zoe,1993-10-01,1993,418961,"['Action', 'Crime', 'Drama', 'Thriller']"
Love Actually,2003-09-07,2003,244931766,"['Comedy', 'Romance', 'Drama']"
Notting Hill,1999-05-13,1999,363889678,"['Romance', 'Comedy', 'Drama']"
One Flew Over the Cuckoo's Nest,1975-11-18,1975,108981275,['Drama']
Dial M for Murder,1954-05-29,1954,3000000,"['Crime', 'Mystery', 'Thriller']"
Ed Wood,1994-09-27,1994,5887457,"['Comedy', 'Drama', 'History']"
Casino,1995-11-22,1995,116112375,"['Crime', 'Drama']"
The Blues Brothers,1980-06-17,1980,115229890,"['Music', 'Comedy', 'Action', 'Crime']"
Ladyhawke,1985-03-27,1985,18432000,"['Adventure', 'Drama', 'Fantasy', 'Romance']"
Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04,2005,192452832,"['Adventure', 'Animation', 'Comedy', 'Family']"
Terminator Salvation,2009-05-20,2009,371353001,"['Action', 'Science Fiction', 'Thriller']"
Flashdance,1983-04-14,1983,92921203,"['Drama', 'Romance']"
Psycho,1960-06-16,1960,32000000,"['Drama', 'Horror', 'Thriller']"
D.E.B.S.,2004-01-21,2004,0,['Action']
The Man with the Golden Arm,1955-12-14,1955,0,"['Crime', 'Drama', 'Romance']"
There's Something About Mary,1998-07-15,1998,369884651,"['Romance', 'Comedy']"
Transamerica,2005-12-23,2005,13350369,['Drama']
The Horse Whisperer,1998-05-14,1998,186883563,"['Drama', 'Romance']"
Basquiat,1996-08-09,1996,3011195,"['Drama', 'History']"
Fight Club,1999-10-15,1999,100853753,['Drama']
The Poseidon Adventure,1972-12-01,1972,84563118,"['Action', 'Adventure']"
Spider-Man,2002-05-01,2002,821708551,"['Fantasy', 'Action']"
Spider-Man 2,2004-06-25,2004,783766341,"['Action', 'Adventure', 'Fantasy']"
Spider-Man 3,2007-05-01,2007,890871626,"['Fantasy', 'Action', 'Adventure']"
Secret Beyond the Door,1948-01-01,1948,0,"['Crime', 'Drama', 'Thriller']"
Constantine,2005-02-08,2005,230884728,"['Drama', 'Fantasy', 'Horror']"
Die Hard,1988-07-15,1988,140767956,"['Action', 'Thriller']"
Starship Troopers,1997-11-06,1997,121214377,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
The Mummy,1999-04-16,1999,415885488,"['Adventure', 'Action', 'Fantasy']"
The Ring,2002-10-18,2002,249348933,"['Horror', 'Mystery']"
Rear Window,1954-08-01,1954,36764313,"['Drama', 'Mystery', 'Thriller']"
Apollo 13,1995-06-30,1995,355237933,['Drama']
The Birds,1963-03-28,1963,11403529,['Horror']
The Man Who Knew Too Much,1956-06-01,1956,10250000,"['Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The Wild Bunch,1969-06-17,1969,638641,"['Adventure', 'Western']"
To Die For,1995-05-20,1995,21284514,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
Jaws,1975-06-18,1975,470700000,"['Horror', 'Thriller', 'Adventure']"
Jaws 2,1978-06-16,1978,187884007,"['Horror', 'Thriller']"
Jaws: The Revenge,1987-07-17,1987,51881013,"['Adventure', 'Thriller']"
Dances with Wolves,1990-11-09,1990,424208848,"['Adventure', 'Drama', 'Western']"
2 Fast 2 Furious,2003-06-05,2003,236350661,"['Action', 'Crime', 'Thriller']"
"Monsters, Inc.",2001-11-01,2001,562816256,"['Animation', 'Comedy', 'Family']"
Wag the Dog,1997-12-25,1997,64256513,"['Comedy', 'Drama']"
Big Fish,2003-12-25,2003,122919055,"['Adventure', 'Fantasy', 'Drama']"
Silent Hill,2006-04-21,2006,97607453,"['Horror', 'Mystery']"
The Hours,2002-12-27,2002,41597830,['Drama']
The Da Vinci Code,2006-05-17,2006,767820459,"['Thriller', 'Mystery']"
The Conversation,1974-04-07,1974,4420000,"['Crime', 'Drama', 'Mystery']"
The Terminal,2004-06-17,2004,219417255,"['Comedy', 'Drama']"
To Kill a Mockingbird,1962-12-25,1962,13129846,"['Crime', 'Drama']"
The Grapes of Wrath,1940-03-15,1940,0,['Drama']
Titanic,1997-11-18,1997,1845034188,"['Drama', 'Romance', 'Thriller']"
Sunset Boulevard,1950-08-10,1950,5000000,['Drama']
Full Metal Jacket,1987-06-26,1987,46357676,"['Drama', 'War']"
E.T. the Extra-Terrestrial,1982-04-03,1982,792965326,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']"
Independence Day,1996-06-25,1996,0,"['Action', 'Adventure', 'Science Fiction']"
The Matrix,1999-03-30,1999,463517383,"['Action', 'Science Fiction']"
The Matrix Reloaded,2003-05-15,2003,738599701,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
The Matrix Revolutions,2003-11-05,2003,424988211,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Out of Africa,1985-12-20,1985,128499205,['Drama']
Men in Black,1997-07-02,1997,589390539,"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
Men in Black II,2002-07-03,2002,441818803,"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
Poltergeist,1982-06-04,1982,122200000,['Horror']
Munich,2005-12-23,2005,130358911,"['Drama', 'Action', 'History', 'Thriller']"
The Last Samurai,2003-12-05,2003,456758981,"['Drama', 'Action', 'War', 'History']"
Wild Things,1998-03-20,1998,67200000,"['Mystery', 'Thriller', 'Drama']"
The Birth of a Nation,1915-02-08,1915,11000000,"['Drama', 'History', 'War']"
